arquivo,SELECTED,REVISION,TOTAL,SELECTED_RATIO,REVISION_RATIO,SELECTED_REVISION_RATIO
0.bib,0,0,110,0.0,0.0,
1.bib,1,2,244,0.0,0.01,0.33
10.bib,0,0,107,0.0,0.0,
11.bib,2,8,934,0.0,0.01,0.2
12.bib,1,3,433,0.0,0.01,0.25
13.bib,0,2,70,0.0,0.03,0.0
14.bib,2,3,13,0.15,0.23,0.4
15.bib,0,1,94,0.0,0.01,0.0
16.bib,0,0,12,0.0,0.0,
17.bib,0,6,938,0.0,0.01,0.0
18.bib,1,5,404,0.0,0.01,0.17
19.bib,2,4,14,0.14,0.29,0.33
2.bib,1,3,533,0.0,0.01,0.25
20.bib,1,6,902,0.0,0.01,0.14
21.bib,0,0,3,0.0,0.0,
22.bib,0,3,943,0.0,0.0,0.0
23.bib,0,2,71,0.0,0.03,0.0
24.bib,3,8,61,0.05,0.13,0.27
25.bib,0,1,165,0.0,0.01,0.0
26.bib,0,0,42,0.0,0.0,
27.bib,1,2,204,0.0,0.01,0.33
28.bib,1,4,82,0.01,0.05,0.2
29.bib,5,10,77,0.06,0.13,0.33
3.bib,0,0,2,0.0,0.0,
30.bib,0,0,8,0.0,0.0,
31.bib,0,0,32,0.0,0.0,
32.bib,0,0,27,0.0,0.0,
33.bib,1,6,262,0.0,0.02,0.14
34.bib,3,3,26,0.12,0.12,0.5
35.bib,0,1,200,0.0,0.0,0.0
36.bib,1,1,229,0.0,0.0,0.5
37.bib,0,1,177,0.0,0.01,0.0
38.bib,0,3,225,0.0,0.01,0.0
39.bib,5,8,37,0.14,0.22,0.38
4.bib,2,3,13,0.15,0.23,0.4
40.bib,0,0,26,0.0,0.0,
41.bib,0,0,59,0.0,0.0,
42.bib,0,2,292,0.0,0.01,0.0
43.bib,0,5,340,0.0,0.01,0.0
44.bib,4,6,42,0.1,0.14,0.4
5.bib,1,6,863,0.0,0.01,0.14
6.bib,0,0,18,0.0,0.0,
7.bib,0,3,938,0.0,0.0,0.0
8.bib,0,2,38,0.0,0.05,0.0
9.bib,2,3,12,0.17,0.25,0.4
